  No.   E(hr.)    dos(hr.)       E(eV)          dos(eV)    sum
   3096  -0.6291      0.00000000    -13.3145    0.0000000000  360.0000
   3106  -0.6281      0.00000000    -13.2873    0.0000000000  360.0000
   3116  -0.6271      0.00000000    -13.2601    0.0000000000  360.0000
   3126  -0.6261      0.00000000    -13.2329    0.0000000000  360.0000
   3136  -0.6251      0.00000000    -13.2057    0.0000000000  360.0000
   3146  -0.6241      0.00000000    -13.1785    0.0000000000  360.0000
   3156  -0.6231      0.00000000    -13.1513    0.0000000000  360.0000
   3166  -0.6221      0.00000000    -13.1241    0.0000000000  360.0000
   3176  -0.6211      0.00000000    -13.0968    0.0000000000  360.0000
   3186  -0.6201      0.00000000    -13.0696    0.0000000000  360.0000
   3196  -0.6191      0.00000000    -13.0424    0.0000000000  360.0000
   3206  -0.6181      0.00000000    -13.0152    0.0000000000  360.0000
   3216  -0.6171      0.00000000    -12.9880    0.0000000000  360.0000
   3226  -0.6161      0.00000000    -12.9608    0.0000000000  360.0000
   3236  -0.6151      0.00000000    -12.9336    0.0000000000  360.0000
   3246  -0.6141      0.00000000    -12.9064    0.0000000000  360.0000
   3256  -0.6131      0.00000000    -12.8791    0.0000000000  360.0000
   3266  -0.6121      0.00000000    -12.8519    0.0000000000  360.0000
   3276  -0.6111      0.00000000    -12.8247    0.0000000000  360.0000
   3286  -0.6101      0.00000000    -12.7975    0.0000000000  360.0000
   3296  -0.6091      0.00000000    -12.7703    0.0000000000  360.0000
   3306  -0.6081      0.00000000    -12.7431    0.0000000000  360.0000
   3316  -0.6071      0.00000000    -12.7159    0.0000000000  360.0000
   3326  -0.6061      0.00000000    -12.6887    0.0000000000  360.0000
   3336  -0.6051      0.00000000    -12.6615    0.0000000000  360.0000
   3346  -0.6041      0.00000000    -12.6342    0.0000000000  360.0000
   3356  -0.6031      0.00000000    -12.6070    0.0000000000  360.0000
   3366  -0.6021      0.00000000    -12.5798    0.0000000000  360.0000
   3376  -0.6011      0.00000000    -12.5526    0.0000000000  360.0000
   3386  -0.6001      0.00000000    -12.5254    0.0000000000  360.0000
   3396  -0.5991      0.00000000    -12.4982    0.0000000000  360.0000
   3406  -0.5981      0.00000000    -12.4710    0.0000000000  360.0000
   3416  -0.5971      0.00000000    -12.4438    0.0000000000  360.0000
   3426  -0.5961      0.00000000    -12.4166    0.0000000000  360.0000
   3436  -0.5951      0.00000000    -12.3893    0.0000000000  360.0000
   3446  -0.5941      0.00000000    -12.3621    0.0000000000  360.0000
   3456  -0.5931      0.00000000    -12.3349    0.0000000000  360.0000
   3466  -0.5921      0.00000000    -12.3077    0.0000000000  360.0000
   3476  -0.5911      0.00000000    -12.2805    0.0000000000  360.0000
   3486  -0.5901      0.00000000    -12.2533    0.0000000000  360.0000
   3496  -0.5891      0.00000000    -12.2261    0.0000000000  360.0000
   3506  -0.5881      0.00000000    -12.1989    0.0000000000  360.0000
   3516  -0.5871      0.00000000    -12.1717    0.0000000000  360.0000
   3526  -0.5861      0.00000000    -12.1444    0.0000000000  360.0000
   3536  -0.5851      0.00000000    -12.1172    0.0000000000  360.0000
   3546  -0.5841      0.00000000    -12.0900    0.0000000000  360.0000
   3556  -0.5831      0.00000000    -12.0628    0.0000000000  360.0000
   3566  -0.5821      0.00000000    -12.0356    0.0000000000  360.0000
   3576  -0.5811      0.00000000    -12.0084    0.0000000000  360.0000
   3586  -0.5801      0.00000000    -11.9812    0.0000000000  360.0000
   3596  -0.5791      0.00000000    -11.9540    0.0000000000  360.0000
   3606  -0.5781      0.00000000    -11.9268    0.0000000000  360.0000
   3616  -0.5771      0.00000000    -11.8995    0.0000000000  360.0000
   3626  -0.5761      0.00000000    -11.8723    0.0000000000  360.0000
   3636  -0.5751      0.00000000    -11.8451    0.0000000000  360.0000
   3646  -0.5741      0.00000000    -11.8179    0.0000000000  360.0000
   3656  -0.5731      0.00000000    -11.7907    0.0000000000  360.0000
   3666  -0.5721      0.00000000    -11.7635    0.0000000000  360.0000
   3676  -0.5711      0.00000000    -11.7363    0.0000000000  360.0000
   3686  -0.5701      0.00000000    -11.7091    0.0000000000  360.0000
   3696  -0.5691      0.00000000    -11.6818    0.0000000000  360.0000
   3706  -0.5681      0.00000000    -11.6546    0.0000000000  360.0000
   3716  -0.5671      0.00000000    -11.6274    0.0000000000  360.0000
   3726  -0.5661      0.00000000    -11.6002    0.0000000000  360.0000
   3736  -0.5651      0.00000000    -11.5730    0.0000000000  360.0000
   3746  -0.5641      0.00000000    -11.5458    0.0000000000  360.0000
   3756  -0.5631      0.00000000    -11.5186    0.0000000000  360.0000
   3766  -0.5621      0.00000000    -11.4914    0.0000000000  360.0000
   3776  -0.5611      0.00000000    -11.4642    0.0000000000  360.0000
   3786  -0.5601      0.00000000    -11.4369    0.0000000000  360.0000
   3796  -0.5591      0.00000000    -11.4097    0.0000000000  360.0000
   3806  -0.5581      0.00000000    -11.3825    0.0000000000  360.0000
   3816  -0.5571      0.00000000    -11.3553    0.0000000000  360.0000
   3826  -0.5561      0.00000000    -11.3281    0.0000000000  360.0000
   3836  -0.5551      0.00000000    -11.3009    0.0000000000  360.0000
   3846  -0.5541      0.00000000    -11.2737    0.0000000000  360.0000
   3856  -0.5531      0.00000000    -11.2465    0.0000000000  360.0000
   3866  -0.5521      0.00000000    -11.2193    0.0000000000  360.0000
   3876  -0.5511      0.00000000    -11.1920    0.0000000000  360.0000
   3886  -0.5501      0.00000000    -11.1648    0.0000000000  360.0000
   3896  -0.5491      0.00000000    -11.1376    0.0000000000  360.0000
   3906  -0.5481      0.00000000    -11.1104    0.0000000000  360.0000
   3916  -0.5471      0.00000000    -11.0832    0.0000000000  360.0000
   3926  -0.5461      0.00000000    -11.0560    0.0000000000  360.0000
   3936  -0.5451      0.00000000    -11.0288    0.0000000000  360.0000
   3946  -0.5441      0.00000000    -11.0016    0.0000000000  360.0000
   3956  -0.5431      0.00000000    -10.9744    0.0000000000  360.0000
   3966  -0.5421      0.00000000    -10.9471    0.0000000000  360.0000
   3976  -0.5411      0.00000000    -10.9199    0.0000000000  360.0000
   3986  -0.5401      0.00000000    -10.8927    0.0000000000  360.0000
   3996  -0.5391      0.00000000    -10.8655    0.0000000000  360.0000
   4006  -0.5381      0.00000000    -10.8383    0.0000000000  360.0000
   4016  -0.5371      0.00000000    -10.8111    0.0000000000  360.0000
   4026  -0.5361      0.00000000    -10.7839    0.0000000000  360.0000
   4036  -0.5351      0.00000000    -10.7567    0.0000000000  360.0000
   4046  -0.5341      0.00000000    -10.7294    0.0000000000  360.0000
   4056  -0.5331      0.00000000    -10.7022    0.0000000000  360.0000
   4066  -0.5321      0.00000000    -10.6750    0.0000000000  360.0000
   4076  -0.5311      0.00000000    -10.6478    0.0000000000  360.0000
   4086  -0.5301      0.00000000    -10.6206    0.0000000000  360.0000
   4096  -0.5291      0.00000000    -10.5934    0.0000000000  360.0000
