  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
   2006  -0.74810      0.0000000000    -16.655483      0.0000000000       10.0000000000
   2016  -0.74710      0.0000000000    -16.628272      0.0000000000       10.0000000000
   2026  -0.74610      0.0000000000    -16.601060      0.0000000000       10.0000000000
   2036  -0.74510      0.0000000000    -16.573849      0.0000000000       10.0000000000
   2046  -0.74410      0.0000000000    -16.546637      0.0000000000       10.0000000000
   2056  -0.74310      0.0000000000    -16.519426      0.0000000000       10.0000000000
   2066  -0.74210      0.0000000000    -16.492215      0.0000000000       10.0000000000
   2076  -0.74110      0.0000000000    -16.465003      0.0000000000       10.0000000000
   2086  -0.74010      0.0000000000    -16.437792      0.0000000000       10.0000000000
   2096  -0.73910      0.0000000000    -16.410580      0.0000000000       10.0000000000
   2106  -0.73810      0.0000000000    -16.383369      0.0000000000       10.0000000000
   2116  -0.73710      0.0000000000    -16.356158      0.0000000000       10.0000000000
   2126  -0.73610      0.0000000000    -16.328946      0.0000000000       10.0000000000
   2136  -0.73510      0.0000000000    -16.301735      0.0000000000       10.0000000000
   2146  -0.73410      0.0000000000    -16.274524      0.0000000000       10.0000000000
   2156  -0.73310      0.0000000000    -16.247312      0.0000000000       10.0000000000
   2166  -0.73210      0.0000000000    -16.220101      0.0000000000       10.0000000000
   2176  -0.73110      0.0000000000    -16.192889      0.0000000000       10.0000000000
   2186  -0.73010      0.0000000000    -16.165678      0.0000000000       10.0000000000
   2196  -0.72910      0.0000000000    -16.138467      0.0000000000       10.0000000000
   2206  -0.72810      0.0000000000    -16.111255      0.0000000000       10.0000000000
   2216  -0.72710      0.0000000000    -16.084044      0.0000000000       10.0000000000
   2226  -0.72610      0.0000000000    -16.056832      0.0000000000       10.0000000000
   2236  -0.72510      0.0000000000    -16.029621      0.0000000000       10.0000000000
   2246  -0.72410      0.0000000000    -16.002410      0.0000000000       10.0000000000
   2256  -0.72310      0.0000000000    -15.975198      0.0000000000       10.0000000000
   2266  -0.72210      0.0000000000    -15.947987      0.0000000000       10.0000000000
   2276  -0.72110      0.0000000000    -15.920775      0.0000000000       10.0000000000
   2286  -0.72010      0.0000000000    -15.893564      0.0000000000       10.0000000000
   2296  -0.71910      0.0000000000    -15.866353      0.0000000000       10.0000000000
   2306  -0.71810      0.0000000000    -15.839141      0.0000000000       10.0000000000
   2316  -0.71710      0.0000000000    -15.811930      0.0000000000       10.0000000000
   2326  -0.71610      0.0000000000    -15.784718      0.0000000000       10.0000000000
   2336  -0.71510      0.0000000000    -15.757507      0.0000000000       10.0000000000
   2346  -0.71410      0.0000000000    -15.730296      0.0000000000       10.0000000000
   2356  -0.71310      0.0000000000    -15.703084      0.0000000000       10.0000000000
   2366  -0.71210      0.0000000000    -15.675873      0.0000000000       10.0000000000
   2376  -0.71110      0.0000000000    -15.648661      0.0000000000       10.0000000000
   2386  -0.71010      0.0000000000    -15.621450      0.0000000000       10.0000000000
   2396  -0.70910      0.0000000000    -15.594239      0.0000000000       10.0000000000
   2406  -0.70810      0.0000000000    -15.567027      0.0000000000       10.0000000000
   2416  -0.70710      0.0000000000    -15.539816      0.0000000000       10.0000000000
   2426  -0.70610      0.0000000000    -15.512604      0.0000000000       10.0000000000
   2436  -0.70510      0.0000000000    -15.485393      0.0000000000       10.0000000000
   2446  -0.70410      0.0000000000    -15.458182      0.0000000000       10.0000000000
   2456  -0.70310      0.0000000000    -15.430970      0.0000000000       10.0000000000
   2466  -0.70210      0.0000000000    -15.403759      0.0000000000       10.0000000000
   2476  -0.70110      0.0000000000    -15.376547      0.0000000000       10.0000000000
   2486  -0.70010      0.0000000000    -15.349336      0.0000000000       10.0000000000
